ICAO,IATA,Name,City,Country,Altitude,Latitude,Longitude
PAGK,GKN,GULKANA,GULKANA,USA,482,62.155,-145.456
EGPF,GLA,GLASGOW,GLASGOW,UK,8,55.872,-4.433
MRGF,GLF,GOLFITO,GOLFITO,COSTA RICA,15,8.654,-83.182
HCMR,GLK,N/A,GALCAIO,SOMALIA,0,0,0
EGBJ,GLO,GLOUCESTERSHIRE,GOLOUCHESTERSHIRE,ENGLAND,29,51.894,-2.167
KGLS,GLS,SCHOLES INTERNATIONAL AT GALVESTON,GALVESTON,USA,2,29.265,-94.86
WAMA,GLX,N/A,GALELA,INDONESIA,0,0,0
FZFK,GMA,GEMENA,GEMENA,ZAIRE,421,3.235,19.771
HAGM,GMB,GAMBELLA,GAMBELLA,ETHIOPIA,485,8.128,34.563
UMGG,GME,GOMEL,GOMEL,RUSSIA,144,52.527,31.017
FCOG,GMM,N/A,GAMBOMA,CONGO,0,0,0
RKSS,GMP,GIMPO,SEOUL,KOREA,18,37.558,126.791
NTGJ,GMR,TOTEGEGIE,TOTEGEGIE,FRENCH POLYNESIA,3,-23.08,-134.89
LFLS,GNB,SAINT GEOIRS,GRENOBLE,FRANCE,397,45.363,5.329
TGPY,GND,POINT SALINES INTERNATIONAL,POINT SALINES,GRENADA,13,12.004,-61.786
RCGI,GNI,GREEN ISLAND,GREEN ISLAND,TAIWAN,9,22.674,121.458
HAGH,GNN,N/A,GHINNIR,ETHIOPIA,0,0,0
WIMB,GNS,BINAKA,GUNUNG SITOLI,INDONESIA,7,1.166,97.703
KGNT,GNT,GRANTS MILAN MUNI,GRANTS,USA,1988,35.165,-107.901
KGNV,GNV,GAINESVILLE RGNL,GAINESVILLE,USA,47,29.69,-82.272
FBGZ,GNZ,N/A,GHANZI,BOTSWANA,0,0,0
LIMJ,GOA,GENOVA SESTRI,GENOA,ITALY,4,44.412,8.842
HAGB,GOB,N/A,GOBA,ETHIOPIA,0,0,0
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,87,64.191,-51.678
VAGO,GOI,GOA,GOA,INDIA,57,15.381,73.833
FZNA,GOM,GOMA,GOMA,ZAIRE,1552,-1.671,29.238
HAGR,GOR,N/A,GORE,ETHIOPIA,0,0,0
ESGG,GOT,LANDVETTER,GOTHENBORG,SWEDEN,155,57.663,12.28
FKKR,GOU,GAROUA,GAROUA,CAMEROON,243,9.336,13.37
YDGV,GOV,N/A,GOVE,AUSTRALIA,0,0,0
VCCG,GOY,AMPARAI,GALOYA,SRI LANKA,46,7.337,81.626
LBGO,GOZ,GORNA ORYAHOVITSA,GORNA ORECHOVICA,BULGARIA,87,43.151,25.713
LGRX,GPA,ARAXOS,PATRAS,GREECE,15,38.151,21.426
SKGP,GPI,GUAPI,GUAPI,COLOMBIA,50,2.57,-77.898
SEGS,GPS,SEYMOUR,GALAPAGOS,GALAPAGOS I. (ECUADOR,16,-0.454,-90.266
KGPT,GPT,Gulfport–Biloxi International Airport,GULFPORT / BILOXI,USA,N/A,N/A,N/A
KGRB,GRB,AUSTIN STRAUBEL INTERNATIONAL,GREEN BAY,USA,212,44.485,-88.129
KGRF,GRF,GRAY AAF,FORT LEWIS,USA,93,47.079,-122.581
OAGZ,GRG,N/A,GARDEZ,AFGHANISTAN,0,0,0
KGRI,GRI,Central Nebraska Regional Airport,GRAND ISLAND,USA,N/A,N/A,N/A
FAGG,GRJ,GEORGE,GEORGE,SOUTH AFRICA,198,-34.005,22.379
KGRK,GRK,ROBERT GRAY AAF,KILLEEN,USA,311,31.067,-97.829
LEGE,GRO,GIRONA,GERONA,SPAIN,143,41.901,2.76
EHGG,GRQ,EELDE,GRONINGEN,NETHERLANDS,6,53.119,6.579
KGRR,GRR,GERALD R FORD INTERNATIONAL,GRAND RAPIDS,USA,242,42.881,-85.523
LIRS,GRS,GROSSETO,GROSSETO,ITALY,5,42.761,11.072
SBGR,GRU,GUARULHOS,SAO PAULO,BRAZIL,750,-23.432,-46.469
LPGR,GRW,GRACIOSA,GRACIOSA ISLAND,ACORES,27,39.092,-28.03
LEGA,GRX,ARMILLA,GRANADA,SPAIN,701,37.133,-3.636
BIGR,GRY,N/A,GRIMSEY,ICELAND,0,0,0
LOWG,GRZ,GRAZ MIL/CIV,GRAZ,AUSTRIA,106,47,15.433
KGSB,GSB,SEYMOUR JOHNSON AFB,GOLDSBORO,USA,34,35.339,-77.961
ESGP,GSE,SAVE,GOTHENBORG,SWEDEN,18,57.775,11.87
DAAS,GSF,SETIF AIN ARNAT,SETIF,ALGERIA,1025,36.178,5.324
KGSO,GSO,Piedmont Triad International Airport,GREENSBORO,USA,N/A,N/A,N/A
KGSP,GSP,Greenville–Spartanburg International Airport (Roger Milliken Field),GREENVILLE,USA,N/A,N/A,N/A
PAGS,GST,Gustavus Airport,GUSTAVUS,USA,N/A,N/A,N/A
KGTB,GTB,WHEELER SACK AAF,FORT DRUM,USA,211,44.056,-75.719
YDGE,GTE,N/A,GROOTE EYLANDT,AUSTRALIA,0,0,0
KGTF,GTF,GREAT FALLS INTERNATIONAL,GREAT FALLS,USA,1121,47.482,-111.371
NZMC,GTN,MOUNT COOK,MOUNT COOK,NEW ZEALAND,657,-43.765,170.133
WAMG,GTO,JALALUDDIN,GORONTALO,INDONESIA,18,0.637,122.852
KGTR,GTR,Golden Triangle Regional Airport,COLUMBUS,USA,N/A,N/A,N/A
MGGT,GUA,LA AURORA,GUATEMALA CITY,GUATEMALA,1510,14.583,-90.528
KGUC,GUC,Gunnison–Crested Butte Regional Airport,GUNNISON,USA,N/A,N/A,N/A
GAGM,GUD,N/A,GOUNDAM,MALI,0,0,0
SVGI,GUI,GUIRIA,GUIRIA,VENEZUELA,13,10.574,-62.313
PGUM,GUM,GUAM INTERNATIONAL,AGANA,MARIANA ISLANDS,91,13.484,144.797
SVGU,GUQ,GUANARE,GUANARE,VENEZUELA,185,9.027,-69.755
KGUS,GUS,GRISSOM ARB,PERU,USA,248,40.648,-86.152
ETUO,GUT,GUTERSLOH,GUETERSLOH,GERMANY,72,51.923,8.306
UAGZ,GUW,N/A,GURYEV,RUSSIA,0,0,0
LSGG,GVA,GENEVA COINTRIN,GENEVA,SWITZERLAND,431,46.238,6.109
KGVT,GVT,MAJORS,GREENVILE,USA,164,33.068,-96.065
KGVW,GVW,RICHARDS GEBAUR MEMORIAL,GRANDVIEW,USA,333,38.843,-94.561
ESSK,GVX,GAVLE SANDVIKEN,GAVLE,SWEDEN,69,60.593,16.951
OPGD,GWD,GWADAR,GWADAR,PAKISTAN,30,25.233,62.329
FVGW,GWE,N/A,GWERU,ZIMBABWE,0,0,0
VIGR,GWL,GWALIOR,GWALIOR,INDIA,189,26.294,78.228
KGWO,GWO,GREENWOOD LEFLORE,GREENWOOD,USA,50,33.494,-90.084
EDXW,GWT,WESTERLAND SYLT,WESTERLAND,GERMANY,16,54.913,8.34
EDBG,GWW,GOLDSBORO WAYNE MUNI,GOTHA OST,GERMANY,41,35.461,-77.965
EICM,GWY,GALWAY,GALWAY,IRELAND,25,53.301,-8.939
FNNG,GXG,NEGAGE,NEGAGE,ANGOLA,1252,-7.754,15.287
SCCY,GXQ,TENIENTE VIDAL,COYHAIQUE,CHILE,311,-45.594,-72.106
FKKJ,GXX,N/A,YAGOUA,CAMEROON,0,0,0
SLGY,GYA,CAP DE AV EMILIO BELTRAN,GUAYARAMERIN,BOLIVIA,131,-10.822,-65.346
SEGU,GYE,SIMON BOLIVAR INTERNATIONAL,GUAYAQUIL,ECUADOR,5,-2.158,-79.884
HRYG,GYI,GISENYI,GISENYI,RWANDA,1554,-1.677,29.259
MMGM,GYM,GENERAL JOSE MARIA YANEZ INTERNATIONAL,GUAYMAS,MEXICO,28,27.969,-110.925
SBGO,GYN,SANTA GENOVEVA,GOIANIA,BRAZIL,747,-16.631,-49.222
YGGN,GZO,N/A,GIZO,SOLOMON ISLANDS,0,0,0
LTAJ,GZT,OGUZELI,GAZIANTEP,TURKEY,706,36.948,37.479
ENHK,HAA,HASVIK,HASVIK,NORWAY,7,70.487,22.14
RJTH,HAC,HACHIJOJIMA,HACHIJOJIMA,JAPAN,93,33.115,139.786
ESMT,HAD,HALMSTAD,HALMSTAD,SWEDEN,31,56.691,12.82
FMCH,HAH,MORONI HAHAIA,MORONI,COMOROS ISLANDS,28,-11.534,43.272
EDDV,HAJ,HANNOVER,HANNOVER,GERMANY,56,52.461,9.685
ZGHK,HAK,N/A,HAIKOU,CHINA,0,0,0
EDDH,HAM,HAMBURG,HAMBURG,GERMANY,17,53.63,9.988
VVNB,HAN,NOIBAI INTERNATIONAL,HANOI,VIET NAM,12,21.222,105.806
KHAR,HAR,N/A,HARRISBURG,USA,0,0,0
OEHL,HAS,HAIL,HAIL,SAUDI ARABIA,1016,27.438,41.686
ENHD,HAU,HAUGESUND KARMOY,HAUGESUND,NORWAY,24,59.345,5.208
MUHA,HAV,JOSE MARTI INTERNATIONAL,HAVANA,CUBA,65,22.989,-82.409
YMHB,HBA,HOBART,HOBART,AUSTRALIA,4,-42.836,147.51
KHBR,HBR,HOBART MUNI,HOBART,USA,477,34.991,-99.051
OEKK,HBT,KING KHALED MILITARY CITY,KING KHALID MIL.CITY,SAUDI ARABIA,413,27.901,45.528
FAGM,HCS,RAND,JOHANNESBURG,SOUTH AFRICA,1698,-26.242,28.151
OPKD,HDD,HYDERABAD,HYDERABAD,PAKISTAN,40,25.318,68.366
PHDH,HDH,DILLINGHAM,DILLINGHAM,USA,5,21.579,-158.21
KHDN,HDN,Yampa Valley Airport (Yampa Valley Regional),HAYDEN,USA,N/A,N/A,N/A
FAHS,HDS,HOEDSPRUIT AFS,HOEDSPRUIT,SOUTH AFRICA,532,-24.369,31.049
VTSS,HDY,HAT YAI INTERNATIONAL,SONGKHLA,THAILAND,28,6.933,100.393
OAHR,HEA,HERAT,HERAT,AFGHANISTAN,978,34.21,62.228
VYHH,HEH,HEHO,HEHO,MYANMAR,1186,20.743,96.792
EDXB,HEI,N/A,HEIDE-BUESUM,GERMANY,0,0,0
EFHK,HEL,HELSINKI VANTAA,HELSINKI,FINLAND,55,60.32,24.956
EFHF,HEM,HELSINKI MALMI,HELSINKI,FINLAND,18,60.254,25.043
LGIR,HER,NIKOS KAZANTZAKIS,HERAKLION,GREECE,36,35.339,25.18
LGAT,HEW,ATHINAI,ATHENS,GREECE,21,37.888,23.732
MDHE,HEX,HERRERA INTERNATIONAL,SANTO DOMINGO,DOMINICAN REPUBLIC,61,18.471,-69.969
LLHA,HFA,HAIFA,HAIFA,ISRAEL,9,32.811,35.044
KHFD,HFD,HARTFORD BRAINARD,HARTFORD,USA,6,41.736,-72.65
ZSOF,HFE,LUOGANG,HEFEI,CHINA,29,31.78,117.298
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,8,64.296,-15.227
ENHF,HFT,N/A,HAMMERFEST,NORWAY,0,0,0
HCMH,HGA,HARGEISA,HARGEISA,SOMALIA,1349,9.518,44.089
ZSHC,HGH,XIAOSHAN,HANGZHOU,CHINA,8,30.228,120.432
EDXH,HGL,N/A,HELGOLAND,GERMANY,0,0,0
DIKO,HGO,KORHOGO,KORHOGO,IVORY COAST,370,9.387,-5.556
KHGR,HGR,Hagerstown Regional Airport (Richard A. Henson Field),HAGERSTOWN,USA,N/A,N/A,N/A
GFHA,HGS,HASTINGS,HASTINGS,SIERRA LEONE,19,8.394,-13.128
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,1643,-5.826,144.296
KHXD,HHH,Hilton Head Airport,HILTON HEAD,USA,N/A,N/A,N/A
EDFH,HHN,FRANKFURT HAHN,HAHN,GERMANY,503,49.95,7.264
VTPH,HHQ,HUA HIN,PRACHUAP KHIRI KHAN,THAILAND,19,12.634,99.951
KHHR,HHR,JACK NORTHROP FLD HAWTHORNE MUNI,HAWTHORNE,USA,21,33.923,-118.335
KHIB,HIB,CHISHOLM HIBBING,HIBBING,USA,413,47.386,-92.839
KHIF,HIF,HILL AFB,OGDEN,USA,1460,41.124,-111.973
RJOA,HIJ,HIROSHIMA,HIROSHIMA,JAPAN,332,34.435,132.922
YGGH,HIR,N/A,HONIARA,SOLOMON ISLANDS,0,0,0
VAKJ,HJR,KHAJURAHO,KHAJURAHO,INDIA,218,24.819,79.919
RJCH,HKD,HAKODATE,HAKODATE,JAPAN,47,41.77,140.822
VHHH,HKG,HONG KONG INTERNATIONAL,HONG KONG,HONG KONG,9,22.309,113.914
NZHK,HKK,HOKITIKA,HOKITIKA,NEW ZEALAND,45,-42.714,170.985
VTSP,HKT,PHUKET INTERNATIONAL,PHUKET,THAILAND,25,8.113,98.317
KHKY,HKY,HICKORY RGNL,HICKORY,USA,363,35.741,-81.389
FALA,HLA,LANSERIA,JOHANNESBURG,SOUTH AFRICA,1377,-25.938,27.926
ZBLA,HLD,DONGSHAN,HAILAR,CHINA,662,49.205,119.825
ESSF,HLF,HULTSFRED,HULTSFRED,SWEDEN,112,57.526,15.824
ZBUL,HLH,N/A,ULANHOT,CHINA,0,0,0
KHLN,HLN,HELENA RGNL,HELENA,USA,1182,46.607,-111.983
WIIH,HLP,HALIM PERDANAKUSUMA INTERNATIONAL,JAKARTA,INDONESIA,30,-6.266,106.891
KHLR,HLR,HOOD AAF,FORT HOOD,USA,282,31.139,-97.714
NZHN,HLZ,HAMILTON,HAMILTON,NEW ZEALAND,53,-37.866,175.332
DAUH,HME,OUED IRARA,HASSI-MESSAOUD,ALGERIA,142,31.673,6.14
KHMN,HMN,HOLLOMAN AFB,ALAMOGORDO,USA,1248,32.852,-106.106
MMHO,HMO,GENERAL IGNACIO P GARCIA INTERNATIONAL,HERMOSILLO,MEXICO,197,29.096,-111.048
ENHA,HMR,STAFSBERG,HAMAR,NORWAY,223,60.818,11.067
RJSI,HNA,HANAMAKI,HANAMAKI,JAPAN,91,39.431,141.136
RJTT,HND,TOKYO INTERNATIONAL,TOKYO,JAPAN,11,35.552,139.779
PHNL,HNL,HONOLULU INTERNATIONAL,HONOLULU,USA,4,21.316,-157.927
PHHN,HNM,HANA,HANA,USA,24,20.796,-156.014
ZGHY,HNY,N/A,HENGYANG,CHINA,0,0,0
KHOB,HOB,LEA CO RGNL,HOBBS,USA,1116,32.688,-103.217
ODHD,HOD,N/A,HODEIDAH,YEMEN,0,0,0
MUHG,HOG,FRANK PAIS,HOLGUIN,CUBA,111,20.786,-76.315
NTTO,HOI,HAO,HAO ISLAND,TUAMOTU ISLANDS,4,-18.075,-140.946
PAHO,HOM,HOMER,HOMER,USA,26,59.646,-151.476
KHON,HON,HURON RGNL,HURON,USA,393,44.385,-98.228
KHOP,HOP,CAMPBELL AAF,HOPKINSVILLE,USA,175,36.668,-87.496
EDQM,HOQ,HOF PLAUEN,HOF,GERMANY,597,50.289,11.855
LPHR,HOR,HORTA,HORTA,ACORES,36,38.52,-28.716
KHOU,HOU,WILLIAM P HOBBY,HOUSTON,USA,15,29.645,-95.279
ENOV,HOV,N/A,ORSTA-VOLDA,NORWAY,0,0,0
MPHO,HOW,HOWARD AFB,HOWARD,PANAMA,16,8.914,-79.599
NFTL,HPA,HAAPAI,HA'APAI,TONGA,13,-19.777,-174.341
KHPN,HPN,WESTCHESTER CO,WHITE PLAINS,USA,134,41.067,-73.707
ZYHB,HRB,TAIPING,HARBIN,CHINA,139,45.623,126.25
FVHA,HRE,HARARE INTERNATIONAL,HARARE,ZIMBABWE,1490,-17.932,31.093
HEGN,HRG,HURGHADA INTERNATIONAL,HURGHADA,EGYPT,16,27.184,33.798
KHRL,HRL,VALLEY INTERNATIONAL,HARLINGEN,USA,11,26.228,-97.654
DAFH,HRM,HASSI R MEL,TILREMPT,ALGERIA,775,32.93,3.312
KHRO,HRO,BOONE CO,HARRISON,USA,417,36.261,-93.155
KHRT,HRT,HURLBURT FLD,MARY ESTHER,USA,12,30.428,-86.689
KHST,HST,HOMESTEAD ARB,HOMESTEAD,USA,3,25.488,-80.384
KHSV,HSV,Huntsville International Airport (Carl T. Jones Field),HUNTSVILLE,USA,N/A,N/A,N/A
UIAA,HTA,KADALA,CHITA,RUSSIA,692,52.026,113.305
EGTH,HTF,HATFIELD,HATFIELD,ENGLAND,24,51.767,0.25
YBMN,HTI,N/A,HAMILTON ISLAND,AUSTRALIA,0,0,0
KHTL,HTL,ROSCOMMON CO,HOUGHTON LAKE,USA,351,44.36,-84.671
ZWTN,HTN,HOTAN,HOTAN,CHINA,1425,37.038,79.866
RORH,HTR,N/A,HATERUMA,JAPAN,0,0,0
KHTS,HTS,Tri-State Airport (Milton J. Ferguson Field),HUNTINGTON,USA,N/A,N/A,N/A
KHUA,HUA,REDSTONE AAF,REDSTONE,USA,209,34.679,-86.685
HAHU,HUE,N/A,HUMERA,ETHIOPIA,0,0,0
KHUF,HUF,TERRE HAUTE INTERNATIONAL HULMAN FLD,TERRE HAUTE,USA,180,39.451,-87.307
NTTH,HUH,HUAHINE,HUAHINE ISLAND,FRENCH POLYNESIA,3,-16.687,-151.022
KHUL,HUL,HOULTON INTERNATIONAL,HOULTON,USA,150,46.123,-67.792
RCYU,HUN,HUALIEN,HUALIEN,TAIWAN,16,24.023,121.618
ESNH,HUV,HUDIKSVALL,HUDIKSVALL,SWEDEN,29,61.768,17.081
MMBT,HUX,BAHIAS DE HUATULCO INTERNATIONAL,BAHIAS DEHUATULCO,MEXICO,143,15.775,-96.261
EGNJ,HUY,HUMBERSIDE,HUMBERSIDE,ENGLAND,37,53.574,-0.351
FMNL,HVA,ANALALAVA,ANALALAVA,MADAGASCAR,106,-14.629,47.764
ENHV,HVG,N/A,HONNINGSVAG,NORWAY,0,0,0
KHVN,HVN,Tweed-New Haven Airport,NEW HAVEN,USA,N/A,N/A,N/A
KHVR,HVR,HAVRE CITY CO,HAVRE,USA,790,48.543,-109.762
KHWO,HWO,NORTH PERRY,HOLLYWOOD,USA,3,26.001,-80.24
KHYA,HYA,Cape Cod Gateway Airport (Boardman/Polando Field),HYANNIS,USA,N/A,N/A,N/A
VOHY,HYD,HYDERABAD,HYDERABAD,INDIA,531,17.452,78.461
ZSLQ,HYN,N/A,HUANGYAN,CHINA,0,0,0
KHYS,HYS,Hays Regional Airport,HAYS,USA,N/A,N/A,N/A
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,14,65.952,-17.426
KIAB,IAB,MC CONNELL AFB,WICHITA,USA,418,37.623,-97.267
KIAD,IAD,WASHINGTON DULLES INTERNATIONAL,WASHINGTON,USA,96,38.944,-77.456
KIAG,IAG,NIAGARA FALLS INTERNATIONAL,NIAGARA FALLS,USA,180,43.107,-78.946
KIAH,IAH,GEORGE BUSH INTCNTL HOUSTON,HOUSTON,USA,30,29.98,-95.34
DAUZ,IAM,IN AMENAS,ZARZAITINE,ALGERIA,563,28.051,9.643
LRIA,IAS,IASI,IASI,ROMANIA,122,47.179,27.62
DNIB,IBA,IBADAN,IBADAN,NIGERIA,221,7.362,3.978
SKIB,IBE,PERALES,IBAGUE,COLOMBIA,950,4.421,-75.133
LEIB,IBZ,IBIZA,IBIZA,SPAIN,7,38.873,1.373
NFCI,ICI,N/A,CICIA,FIJI,0,0,0
KICT,ICT,WICHITA MID CONTINENT,WICHITA,USA,407,37.65,-97.433
KIDA,IDA,Idaho Falls Regional Airport (Fanning Field),IDAHO FALLS,USA,N/A,N/A,N/A
VAID,IDR,DEVI AHILYABAI HOLKAR,INDORE,INDIA,564,22.722,75.801
EPZG,IEG,BABIMOST,ZIELONA GORA,POLAND,60,52.139,15.799
GQNA,IEO,AIOUN EL ATROUSS,AIOUN EL ATROUSS,MAURITANIA,290,16.711,-9.638
UKKK,IEV,ZHULIANY,KIEV,RUSSIA,179,50.402,30.452
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,3,66.058,-23.135
MYIG,IGA,MATTHEW TOWN,MATTHEW TOWN,BAHAMAS,3,20.975,-73.667
LTBL,IGL,CIGLI,IZMIR,TURKEY,6,38.513,27.01
SARI,IGR,CATARATAS DEL IGUAZU,IGUAZU FALLS,ARGENTINA,280,-25.738,-54.473
SBFI,IGU,CATARATAS INTERNATIONAL,FOZ DO IGUACU,BRAZIL,240,-25.596,-54.487
ODAQ,IHN,N/A,QISHAN,YEMEN,0,0,0
FMSI,IHO,N/A,IHOSY,MADAGASCAR,0,0,0
EIMN,IIA,N/A,INISHMAAN,IRELAND,0,0,0
RJDB,IKI,IKI,IKI,JAPAN,16,33.749,129.785
KIKK,IKK,GREATER KANKAKEE,KANKAKEE,USA,193,41.071,-87.846
UIII,IKT,IRKUTSK,IRKUTSK,RUSSIA,510,52.267,104.395
KILG,ILG,NEW CASTLE CO,WILMINGTON,USA,25,39.679,-75.606
